reference;key
1;info3-incollection-2014-24
2;info3-incollection-2014-25
3;burger2016phycom
4;info3-article-2014-123
5;info3-article-2016-7
6;info3-article-2016-2
7;rbhorst-demo
8;info3-inproceedings-2015-530
9;info3-inproceedings-2016-2
10;burger2014vantage
11;info3-inproceedings-2013-473
12;info3-inproceedings-2015-524
13;burger2012profit
14;info3-inproceedings-2015-511
15;burger2016hierarchical
16;burger2017im
17;lareida2015augmenting
18;info3-inproceedings-2010-399
19;info3-inproceedings-2013-476
20;info3-inproceedings-2015-514
21;info3-inproceedings-2013-471
22;info3-inproceedings-2016-1
23;info3-inproceedings-2016-21
24;cisco2016
25;paschos2016wireless
26;valancius2009greening
27;golrezaei2013femtocaching
28;che2002hierarchical
29;martina2014unified
30;Cisc09
31;labovitz2010internet
32;trangia2009
33;gao2001
35;alimi2014application
36;gcc
37;adhikari2012vivisecting
38;carna2013
39;dainotticaida
40;krenc2014internet
41;geo_ip
42;itu2015facts
43;wamser2010
44;Hossfeld2011
45;Kryczka2011
46;Izal2004
47;Pouwelse2005
48;Guo2005
49;Zhang2010
50;Lehrieder2010a
51;Lehrieder2012
52;Pacifici2012
53;Aggarwal2007
54;Bindal2006
55;Xie2008
56;Oechsner2009
57;Choffnes2008
58;gkantsidis2006planet
59;Cuevas2011
60;Blond2011
61;Lehrieder2011
62;bottger2016open
63;torres2011dissecting
64;adhikari2011you
65;rafetseder2011exploring
66;bischof2011crowdsourcing
67;articles2013-113
68;vonAhn2008
69;innocentive
70;conf2011-417
71;microworkers
72;geolite
73;conf2011-410
74;caidaas
75;yang2009efficient
76;irlas
77;hossfia
78;tan2013optimal
79;coffman1973operating
80;traverso2013temporal
81;garetto2014dynamic
82;gill2007youtube
83;cha2009analyzing
84;fricker2012impact
85;zink2009characteristics
86;hasslinger2014caching
87;leconte2014adaptive
88;rossini2014coupling
89;applegate2010optimal
90;rosensweig2010approximate
91;fricker2012versatile
92;zhou2015unifying
93;leconte2016dynamic
94;leskovec2005graphs
95;caida2015
96;cisco2016mobile
97;wba2011wifi
98;sapiezynski2015tracking
99;mamatas2010incentives
100;sastry2007architecting
101;vidales2009metropolitan
102;lafuente2011flexible
103;donelson2012patent
104;seufert2013horst
105;camponovo2005wlan
106;rossi20133gol
107;goma2013patent
108;kandula2008fatvap
109;giustiniano2010fair
110;gonzalez2013radio
111;paasch2012exploring
112;chen2013energy
113;khadraoui2014survey
114;gladisch2014survey
115;trangia1993trunk
116;chen2002performance
117;zhang2006dynamic
118;ke2010performance
119;kaufman1992blocking
120;fodor2007bounding
121;trangia1992polling
122;staehle2002approximation
123;kleinrock1975queuing
