key;chapter;area;methodology
info3-inproceedings-2015-530;not in this thesis;1.4;1.5
info3-inproceedings-2016-2;not in this thesis;2;2
burger2014vantage;in Chapter 2;0.5;0.5
burger2012profit;in Chapter 2;0.5;1
burger2016phycom;in Chapter 4;2.3;2
info3-inproceedings-2016-22;in Chapter 3;1.5;2
lareida2015augmenting;in Chapter 3;1;1
rbhorst-demo;in Chapter 3;1;0.5
info3-inproceedings-2013-476;not in this thesis;2;0.5
info3-inproceedings-2015-514;in Chapter 3;1.6;1.5
info3-inproceedings-2013-471;not in this thesis;0.9;1.5
info3-incollection-2014-25;not in this thesis;1.1;1.5
info3-inproceedings-2015-524;not in this thesis;2.5;1
info3-inproceedings-2015-511;not in this thesis;2.5;2
info3-article-2016-2;not in this thesis;2.7;2.5
burger2016hierarchical;in Chapter 3;1.5;2.5
burger2017im;in Chapter 4;2.5;2.5
